==17153== Lackey, an example Valgrind tool
==17153== Copyright (C) 2002-2017, and GNU GPL'd, by Nicholas Nethercote.
==17153== Using Valgrind-3.18.1 and LibVEX; rerun with -h for copyright info
==17153== Command: ./array_add
==17153== 
I  040202b0,3
I  040202b3,5
 S 1ffefffb18,8
I  04021050,4
I  04021054,1
 S 1ffefffb10,8
I  04021055,3
I  04021058,2
 S 1ffefffb08,8
I  0402105a,2
 S 1ffefffb00,8
I  0402105c,2
 S 1ffefffaf8,8
I  0402105e,2
 S 1ffefffaf0,8
I  04021060,1
 S 1ffefffae8,8
I  04021061,7
I  04021068,4
 S 1ffefffa98,8
I  0402106c,2
I  0402106e,7
I  04021075,7
 M 0403ae0e,1
I  0402107c,7
 S 0403aaf0,8
I  04021083,4
I  04021087,3
I  0402108a,7
I  04021091,7
 S 04039aa0,8
I  04021098,7
 L 04039e80,8
I  0402109f,7
 S 0403ab00,8
I  040210a6,3
I  040210a9,6
I  040210af,5
I  040210b4,6
I  040210ba,5
I  040210bf,6
I  040210c5,7
I  040210cc,6
I  040210d2,6
I  040210d8,6
I  040210de,2
I  040210fa,4
I  040210fe,2
I  040210e9,4
 S 0403aba0,8
I  040210ed,4
 L 04039e90,8
I  040210f1,4
I  040210f5,3
I  040210f8,2
I  040210fa,4
I  040210fe,2
I  040210e9,4
 S 0403ab50,8
I  040210ed,4
 L 04039ea0,8
I  040210f1,4
I  040210f5,3
I  040210f8,2
I  040210fa,4
I  040210fe,2
I  04021100,3
I  04021103,3
I  04021106,4
I  0402110a,2
I  0402110c,3
I  0402110f,3
I  04021112,3
I  04021115,3
I  04021118,2
I  04021128,3
I  0402112b,3
I  0402112e,4
I  04021132,6
I  040215f0,3
I  040215f3,3
I  040215f6,4
I  040215fa,6
I  04021600,3
I  04021603,3
I  04021606,3
I  04021609,5
I  040210e9,4
 S 0403ad90,8
I  040210ed,4
 L 04039eb0,8
I  040210f1,4
I  040210f5,3
I  040210f8,2
I  040210fa,4
I  040210fe,2
I  040210e9,4
 S 0403ab58,8
I  040210ed,4
 L 04039ec0,8
I  040210f1,4
I  040210f5,3
I  040210f8,2
I  040210fa,4
I  040210fe,2
I  040210e9,4
 S 0403ab60,8
I  040210ed,4
 L 04039ed0,8
I  040210f1,4
I  040210f5,3
I  040210f8,2
I  040210fa,4
I  040210fe,2
I  040210e9,4
 S 0403ab80,8
I  040210ed,4
 L 04039ee0,8
I  040210f1,4
I  040210f5,3
I  040210f8,2
I  040210fa,4
I  040210fe,2
I  040210e9,4
 S 0403ab88,8
I  040210ed,4
 L 04039ef0,8
I  040210f1,4
I  040210f5,3
I  040210f8,2
I  040210fa,4
I  040210fe,2
I  040210e9,4
 S 0403ab48,8
I  040210ed,4
 L 04039f00,8
I  040210f1,4
I  040210f5,3
I  040210f8,2
I  040210fa,4
I  040210fe,2
I  040210e9,4
 S 0403ab40,8
I  040210ed,4
 L 04039f10,8
I  040210f1,4
I  040210f5,3
I  040210f8,2
I  040210fa,4
I  040210fe,2
I  040210e9,4
 S 0403abd0,8
I  040210ed,4
 L 04039f20,8
I  040210f1,4
I  040210f5,3
I  040210f8,2
I  040210fa,4
I  040210fe,2
I  040210e9,4
 S 0403abe8,8
I  040210ed,4
 L 04039f30,8
I  040210f1,4
I  040210f5,3
I  040210f8,2
I  040210fa,4
I  040210fe,2
I  040210e9,4
 S 0403ab68,8
I  040210ed,4
 L 04039f40,8
I  040210f1,4
I  040210f5,3
I  040210f8,2
I  040210fa,4
I  040210fe,2
I  040210e9,4
 S 0403ab70,8
I  040210ed,4
 L 04039f50,8
I  040210f1,4
I  040210f5,3
I  040210f8,2
I  040210fa,4
I  040210fe,2
I  040210e9,4
 S 0403ab78,8
I  040210ed,4
 L 04039f60,8
I  040210f1,4
I  040210f5,3
I  040210f8,2
I  040210fa,4
I  040210fe,2
I  04021100,3
I  04021103,3
I  04021106,4
I  0402110a,2
I  040210e0,3
I  040210e3,3
I  040210e6,3
I  040210e9,4
 S 0403ac60,8
I  040210ed,4
 L 04039f70,8
I  040210f1,4
I  040210f5,3
I  040210f8,2
I  040210fa,4
I  040210fe,2
I  04021100,3
I  04021103,3
I  04021106,4
I  0402110a,2
I  040210e0,3
I  040210e3,3
I  040210e6,3
I  040210e9,4
 S 0403ac58,8
I  040210ed,4
 L 04039f80,8
I  040210f1,4
I  040210f5,3
I  040210f8,2
I  040210fa,4
I  040210fe,2
I  04021100,3
I  04021103,3
I  04021106,4
I  0402110a,2
I  040210e0,3
I  040210e3,3
I  040210e6,3
I  040210e9,4
 S 0403acc0,8
I  040210ed,4
 L 04039f90,8
I  040210f1,4
I  040210f5,3
I  040210f8,2
I  040210fa,4
I  040210fe,2
I  04021100,3
I  04021103,3
I  04021106,4
I  0402110a,2
I  040210e0,3
I  040210e3,3
I  040210e6,3
I  040210e9,4
 S 0403ac78,8
I  040210ed,4
 L 04039fa0,8
I  040210f1,4
I  040210f5,3
I  040210f8,2
I  04021148,7
 L 0403ae0e,1
I  0402114f,2
I  04021151,3
I  04021154,6
I  0402115a,7
 L 0403ab50,8
I  04021161,3
I  04021164,2
I  04021166,4
 M 04039e98,8
I  0402116a,7
 L 0403ab48,8
I  04021171,3
I  04021174,2
I  04021176,4
 M 04039ef8,8
I  0402117a,7
 L 0403ab58,8
I  04021181,3
I  04021184,2
I  04021186,4
 M 04039eb8,8
I  0402118a,7
 L 0403ab60,8
I  04021191,3
I  04021194,2
I  04021196,4
 M 04039ec8,8
I  0402119a,7
 L 0403ab68,8
I  040211a1,3
I  040211a4,2
I  040211a6,4
 M 04039f38,8
I  040211aa,7
 L 0403abe8,8
I  040211b1,3
I  040211b4,2
I  040211b6,4
 M 04039f28,8
I  040211ba,7
 L 0403acc0,8
I  040211c1,3
I  040211c4,2
I  040211c6,4
 M 04039f88,8
I  040211ca,7
 L 0403ad90,8
I  040211d1,3
I  040211d4,2
I  040211d6,4
 M 04039ea8,8
I  040211da,7
 L 0403abd0,8
I  040211e1,3
I  040211e4,2
I  040211e6,5
 L 04039f18,8
I  040211eb,6
I  040211f1,7
 L 0403ab68,8
I  040211f8,3
I  040211fb,2
I  040211fd,7
 L 0403ab78,8
I  04021204,5
 L 04039f58,8
I  04021209,6
I  0402120f,8
 L 0403ac18,8
I  04021217,6
I  0402121d,8
 L 0403aba8,8
I  04021225,6
I  0402122b,7
 L 0403ac68,8
I  04021232,3
I  04021235,2
I  04021245,7
 L 0403ac20,8
I  0402124c,3
I  0402124f,2
I  0402125f,4
I  04021263,7
 L 0403abe8,8
I  0402126a,4
 S 1ffefffaa0,16
I  0402126e,4
 S 1ffefffab0,16
I  04021272,4
 S 1ffefffac0,16
I  04021276,4
 S 1ffefffad0,16
I  0402127a,3
I  0402127d,6
I  04021283,4
 L 04039f38,8
I  04021287,3
I  0402128a,7
 L 0403ac78,8
I  04021291,4
I  04021295,4
I  04021299,7
 L 0403ab70,8
I  040212a0,4
 L 04039f48,8
I  040212a4,5
I  040212a9,5
I  040212ae,4
I  040212b2,4
I  040212b6,4
 S 1ffefffaa0,16
I  040212ba,3
I  040212bd,2
I  040212bf,4
 L 04039f98,8
I  040212c3,4
 S 1ffefffab0,8
I  040212c7,3
I  040212ca,2
I  040212cc,4
 L 04039f28,8
I  040212d0,3
I  040212d3,7
 L 0403ab40,8
I  040212da,4
I  040212de,4
 L 04039f08,8
I  040212e2,4
I  040212e6,5
I  040212eb,5
I  040212f0,4
I  040212f4,4
I  040212f8,3
I  040212fb,6
I  04021301,3
I  04021304,6
I  0402160e,3
I  04021611,4
 S 1ffefffaa8,8
I  04021615,5
I  0402130e,4
I  04021312,4
I  04021316,7
 S 1ffefffa68,8
I  0402131d,3
I  04021320,7
I  04021327,7
 L 0403ab60,8
I  0402132e,3
 L 1ffefffaa0,8
I  04021331,4
 L 1ffefffab0,8
I  04021335,4
 L 1ffefffaa8,8
I  04021339,4
 L 04039ec8,8
I  0402133d,3
I  04021340,3
I  04021343,4
I  04021347,4
