name,cache size,block size,block cnt per set,set cnt per cache,access cnt,hit cnt,miss cnt,compulsory miss cnt,capacity miss cnt,conflict miss cnt,hit rate
direct mapping cache,256,16,1,16,233199,172108,61091,16,61047,28,73.803061
set-associative cache,256,16,2,8,233199,178558,54641,16,54606,19,76.568939
set-associative cache,256,16,4,4,233199,179830,53369,16,53352,1,77.114396
fully associative cache,256,16,16,1,233199,181902,51297,16,51281,0,78.002907
direct mapping cache,512,16,1,32,233199,181397,51802,32,51709,61,77.786354
set-associative cache,512,16,2,16,233199,185747,47452,32,47403,17,79.651714
set-associative cache,512,16,4,8,233199,188538,44661,32,44613,16,80.848546
fully associative cache,512,16,32,1,233199,190152,43047,32,43015,0,81.540658
direct mapping cache,1024,16,1,64,233199,189111,44088,64,43897,127,81.094259
set-associative cache,1024,16,2,32,233199,193198,40001,64,39875,62,82.846839
set-associative cache,1024,16,4,16,233199,197121,36078,64,35976,38,84.529093
fully associative cache,1024,16,64,1,233199,198312,34887,64,34823,0,85.039816
