name,cache size,block size,block cnt per set,set cnt per cache,access cnt,hit cnt,miss cnt,compulsory miss cnt,capacity miss cnt,conflict miss cnt,hit rate
direct mapping cache,256,16,1,16,2019407,1795163,224244,16,224200,28,88.895552
set-associative cache,256,16,2,8,2019407,1797041,222366,16,222331,19,88.988550
set-associative cache,256,16,4,4,2019407,1813478,205929,16,205912,1,89.802501
fully associative cache,256,16,16,1,2019407,1917124,102283,16,102267,0,94.934998
direct mapping cache,512,16,1,32,2019407,1860681,158726,32,158633,61,92.139970
set-associative cache,512,16,2,16,2019407,1913229,106178,32,106129,17,94.742120
set-associative cache,512,16,4,8,2019407,1935238,84169,32,84121,16,95.831994
fully associative cache,512,16,32,1,2019407,1933812,85595,32,85563,0,95.761379
direct mapping cache,1024,16,1,64,2019407,1900126,119281,64,119090,127,94.093266
set-associative cache,1024,16,2,32,2019407,1938009,81398,64,81272,62,95.969213
set-associative cache,1024,16,4,16,2019407,1949277,70130,64,70028,38,96.527198
fully associative cache,1024,16,64,1,2019407,1976537,42870,64,42806,0,97.877100
